t,angle,u
4.43,173706.39001621137,-377276.75785342575
4.44,177562.8053731783,-385640.5534094415
4.45,181504.71289322196,-394189.7643160259
4.46,185534.00782423778,-402928.50098688056
4.47,189652.62742944376,-411860.9649586337
4.48,193862.5519188205,-420991.45091094734
4.49,198165.8054012002,-430324.3487314085
4.5,202564.45685746218,-439864.1456261973
4.51,207060.62113530323,-449615.4282775442
4.52,211656.45996606068,-459582.8850490169
4.53,216354.1830040773,-469771.30823969585
4.54,221156.0488891075,-480185.59638832073
4.55,226064.36633227608,-490830.7566285172
4.56,231081.49522611097,-501711.90709623793
4.57,236209.8477791843,-512834.2793905708
4.58,241451.88967590692,-524203.22108910175
4.59,246810.1412620342,-535824.1983190401
4.6,252287.17875645275,-547702.7983853411
4.61,257885.63548983136,-559844.7324570911
4.62,263608.20317073073,-572255.8383134488
4.63,269457.63317978155,-584942.0831504553
4.64,275436.7378925528,-597909.5664500713
4.65,281548.3920317462,-611164.5229128181
4.66,287795.5340493673,-624713.3254554266
4.67,294181.167539537,-638562.4882749454
4.68,300708.36268262396,-652718.6699807711
4.69,307380.25772139087,-667188.6767961174
4.7,314200.06046986533,-681979.4658304508
4.71,321171.0498556602,-697098.1484244753
4.72,328296.5774964853,-712551.9935692688
4.73,335580.0693116082,-728348.431401222
4.74,343025.02716903895,-744495.0567744453
4.75,350635.0305692306,-760999.6329123853
4.76,358413.7383661055,-777870.0951403779
4.77,366364.8905262337,-795114.5547009596
4.78,374492.3099270111,-812741.3026537497
4.79,382799.9041946996,-830758.8138617959
4.8,391291.667583215,-849175.7510662844
4.81,399971.6828945646,-868000.9690515839
4.82,408844.1234418588,-887243.5189026251
4.83,417913.25505583955,-906912.6523566598
4.84,427183.43813589116,-927017.8262514865
4.85,436659.12974651915,-947568.7070722985
4.86,446344.8857603052,-968575.1755993181
4.87,456245.36304836883,-990047.3316584711
4.88,466365.32171938807,-1011995.4989773738
4.89,476709.627408257,-1034430.2301489685
4.9,487283.253615479,-1057362.3117052033
4.91,498091.2840984218,-1080802.769303178
4.92,509138.9153155834,-1104762.8730262718
4.93,520431.45892504364,-1129254.1428027828
4.94,531974.3443383037,-1154288.3539446895
4.95,543773.1213307404,-1179877.5428092075
4.96,555833.4627099312,-1206034.012585848
4.97,568161.167043132,-1232770.3392117703
4.98,580762.1614452199,-1260099.3774182722
4.99,593642.5044284407,-1288034.2669113185
5.0,606808.3888153316,-1316588.4386890896
